CID_x,1Depth,2Depth,CID_y,root_category_id
90452,가정/요리/뷰티,가계부,1230.0,1.0
53471,가정/요리/뷰티,건강요리,1230.0,1.0
53489,가정/요리/뷰티,결혼/가족,1230.0,1.0
53476,가정/요리/뷰티,나라별 요리,1230.0,1.0
53474,가정/요리/뷰티,다이어트 요리,1230.0,1.0
53478,가정/요리/뷰티,도시락,1230.0,1.0
53480,가정/요리/뷰티,디저트,1230.0,1.0
53485,가정/요리/뷰티,뜨개질/바느질/DIY,1230.0,1.0
53473,가정/요리/뷰티,사찰요리,1230.0,1.0
53484,가정/요리/뷰티,살림/정리수납,1230.0,1.0
53479,가정/요리/뷰티,샐러드/샌드위치,1230.0,1.0
53472,가정/요리/뷰티,생활요리,1230.0,1.0
53482,가정/요리/뷰티,술/음료/차,1230.0,1.0
53487,가정/요리/뷰티,원예/조경/텃밭,1230.0,1.0
53483,가정/요리/뷰티,음식 이야기,1230.0,1.0
53477,가정/요리/뷰티,이유식,1230.0,1.0
53475,가정/요리/뷰티,전문가/연예인/블로거 요리,1230.0,1.0
53481,가정/요리/뷰티,제과제빵,1230.0,1.0
53486,가정/요리/뷰티,집/인테리어,1230.0,1.0
53488,가정/요리/뷰티,패션/뷰티,1230.0,1.0
53516,건강/취미/레저,건강운동,55890.0,2.0
53521,건강/취미/레저,건강정보,55890.0,2.0
53522,건강/취미/레저,걷기/육상스포츠,55890.0,2.0
53524,건강/취미/레저,골프,55890.0,2.0
53532,건강/취미/레저,공예,55890.0,2.0
53525,건강/취미/레저,구기,55890.0,2.0
161753,건강/취미/레저,글씨 쓰기,55890.0,2.0
53528,건강/취미/레저,낚시,55890.0,2.0
53514,건강/취미/레저,다이어트,55890.0,2.0
53520,건강/취미/레저,대체의학,55890.0,2.0
53529,건강/취미/레저,등산/캠핑,55890.0,2.0
53526,건강/취미/레저,무예/무술,55890.0,2.0
53530,건강/취미/레저,바둑/장기,55890.0,2.0
53534,건강/취미/레저,반려동물,55890.0,2.0
53523,건강/취미/레저,수영/수상스포츠,55890.0,2.0
147647,건강/취미/레저,스티커북,55890.0,2.0
53527,건강/취미/레저,스포츠/레저 기타,55890.0,2.0
53533,건강/취미/레저,원예,55890.0,2.0
140262,건강/취미/레저,재난/생존/서바이벌,55890.0,2.0
53517,건강/취미/레저,정신건강,55890.0,2.0
53518,건강/취미/레저,질병치료와 예방,55890.0,2.0
53535,건강/취미/레저,취미기타,55890.0,2.0
114987,건강/취미/레저,컬러링북,55890.0,2.0
53531,건강/취미/레저,퍼즐/스도쿠/퀴즈,55890.0,2.0
53519,건강/취미/레저,한의학,55890.0,2.0
53515,건강/취미/레저,헬스/피트니스,55890.0,2.0
3057,경제경영,경제학/경제일반,170.0,3.0
2172,경제경영,기업 경영,170.0,3.0
2028,경제경영,기업/경영자 스토리,170.0,3.0
261,경제경영,마케팅/세일즈,170.0,3.0
172,경제경영,재테크/투자,170.0,3.0
177,경제경영,창업/취업/은퇴,170.0,3.0
3049,경제경영,CEO/비즈니스맨을 위한 능력계발,170.0,3.0
77021,고등학교참고서,고등-문제집,76001.0,4.0
77027,고등학교참고서,고등영어전문교재,76001.0,4.0
77020,고등학교참고서,고등-자습서,76001.0,4.0
77026,고등학교참고서,고등학교 출판사별,76001.0,4.0
77024,고등학교참고서,논술/면접/수시,76001.0,4.0
77022,고등학교참고서,수능대비,76001.0,4.0
77023,고등학교참고서,수능모의고사/기출,76001.0,4.0
77025,고등학교참고서,학습자료,76001.0,4.0
77441,고등학교참고서,EBS 고등,76001.0,4.0
2330,고전,경제학고전,2105.0,5.0
4527,고전,고사성어/속담,2105.0,5.0
2094,고전,고전에서배운다,2105.0,5.0
2344,고전,과학고전,2105.0,5.0
2310,고전,군사고전,2105.0,5.0
2095,고전,다시쓴고전,2105.0,5.0
2123,고전,동양고전문학,2105.0,5.0
2124,고전,동양고전사상,2105.0,5.0
2125,고전,서양고전문학,2105.0,5.0
2126,고전,서양고전사상,2105.0,5.0
2121,고전,우리나라 옛글,2105.0,5.0
7459,고전,위대한 작가들,2105.0,5.0
51038,과학,공학,987.0,6.0
51007,과학,과학사회학(STS),987.0,6.0
51005,과학,과학의 이해,987.0,6.0
