category_name,category_id,isbn_list
가계부,31.0,"['8809479920732', '9788960306257']"
건강요리,32.0,"['9788984688803', '9791189529116']"
다이어트 요리,35.0,"['9791191825435', '9791191509250']"
도시락,36.0,"['9791137266407', '9791168126329']"
디저트,37.0,"['9791165678159', '9791197878954']"
사찰요리,39.0,"['9791162013854', '9788988388525']"
살림/정리수납,40.0,"['9791191462289', '9791191462029']"
샐러드/샌드위치,41.0,"['9791191671001', '9791190920155']"
생활요리,42.0,"['9791191401691', '9791169833509']"
원예/조경/텃밭,44.0,"['9788994832197', '9788938504074']"
음식 이야기,45.0,['9791170483427']
이유식,46.0,"['9791168222724', '9791168221383']"
전문가/연예인/블로거 요리,47.0,['9791156160113']
제과제빵,48.0,"['9791160073072', '9791188892570']"
걷기/육상스포츠,53.0,"['9791196705800', '9791162754146']"
골프,54.0,"['9788993245509', '9791141056391']"
글씨 쓰기,57.0,"['9788981406851', '8809491600629']"
낚시,58.0,"['9788994129556', '9791197402494']"
다이어트,59.0,"['9791170222781', '9788957753149']"
대체의학,60.0,"['9791196150822', '9788965751281']"
등산/캠핑,61.0,"['9788962573442', '9791190118606']"
무예/무술,62.0,"['9791191735253', '9791157322800']"
바둑/장기,63.0,"['9788978496995', '9791161254180']"
반려동물,64.0,"['9791141025328', '9791164712298']"
수영/수상스포츠,65.0,"['9791127239046', '9788978496247']"
스티커북,66.0,"['9791130647623', '8809655590407']"
재난/생존/서바이벌,69.0,"['9788931589214', '9788931589344']"
정신건강,70.0,"['9791185415246', '9791190255073']"
컬러링북,73.0,['9791141077327']
퍼즐/스도쿠/퀴즈,74.0,"['9788927813163', '8809416541969']"
한의학,75.0,"['9788965114420', '9788971932643']"
헬스/피트니스,76.0,"['9788956994413', '9791160321999']"
고사성어/속담,94.0,"['9791170292166', '9791196813123']"
과학사회학(STS),106.0,['9788958627258']
기초과학/교양과학,109.0,"['9788970446295', '9788930087827']"
발명/발견,114.0,"['9788931708905', '9788931707625']"
법의학,115.0,"['9791197082108', '9791195942626']"
세계의 불가사의,117.0,"['9788917159738', '9788991945043']"
의학,119.0,"['9791193135174', '9791193716465']"
인체의 이해,120.0,"['9788931589764', '9788931559125']"
가족만화,146.0,"['9788957090572', '9788957090879']"
그래픽노블,148.0,"['9791171251957', '9791171251032']"
동물만화,151.0,"['9791141111915', '9788952857880']"
스포츠만화,157.0,['9791133405541']
요리만화,158.0,"['9791141124496', '9791141116910']"
인디만화,160.0,['9791197260506']
코믹/명랑만화,164.0,"['9791138043922', '9791138425391']"
계간지/무크,165.0,"['9771225670002', '9771598375702']"
미래학,168.0,"['9788970939117', '9788991519138']"
독일소설,183.0,['9791168611757']
러시아소설,185.0,"['9791127268282', '9791127267827']"
스페인/중남미소설,192.0,"['9788991482074', '9788981330521']"
영미소설,198.0,"['9788995381847', '9791186837030']"
중국소설,201.0,"['9788961844376', '9791127427245']"
프랑스소설,205.0,"['9791127280598', '9791170400974']"
매경 TEST,213.0,"['9791138352567', '9791164845576']"
운전면허,217.0,"['9788940647943', '9791136031303']"
전산세무/회계,219.0,"['9788968913860', '9791167045461']"
한국어능력검정시험,224.0,"['9788927773788', '9788927773801']"
TESAT,229.0,"['9791166628177', '9791185272825']"
게임 만화/캐릭터도감,230.0,"['9791134823795', '9791134894696']"
어린이 중국어,239.0,"['9788927723202', '9791156012061']"
초등 한국사,243.0,"['9791163637431', '9788934920014']"
독서에세이,250.0,"['9791160402629', '9791196192273']"
명상에세이,252.0,['9788997119998']
명언/잠언록,253.0,"['9791191979497', '9791141071509']"
사랑/연애 에세이,254.0,['9791141064242']
사진/그림 에세이,255.0,"['9791172130022', '9791196506179']"
외국에세이,259.0,['9788970128887']
유머/풍자/우화,260.0,"['9788976252401', '9791158251154']"
일기/편지,261.0,['9791169838641']
한국에세이,266.0,"['9788961043236', '9791191914412']"
국내 여행에세이,269.0,['9788998378448']
서울/수도권 여행가이드,277.0,"['9782067257368', '9791169837682']"
워킹 홀리데이,282.0,"['9791125468813', '9791196535742']"
유학/해외연수/이민,284.0,"['9791185979199', '9791185047263']"
제주도 여행가이드,288.0,['9788992533324']
캠핑여행,294.0,"['9791165791957', '9791165797119']"
고고학,300.0,"['9788962465266', '9788962465112']"
북한사,303.0,"['9791160686937', '9791160684766']"
학회/무크/계간지,317.0,"['9771227820009', '9771227820009']"
뮤지컬/오페라,324.0,"['9791165373504', '9791192886343']"
미술/음악/예술치료,326.0,['9791168232143']
예술경영/공연기획,331.0,"['9791195987382', '9791186559543']"
